customer_id,city,signup_date,customer_tier,preferred_contact_method,signup_year,signup_month,signup_quarter
5914,Cape Town,2024-11-21,Bronze,Email,2024.0,11.0,4.0
8621,Unknown,2020-04-21,Bronze,Call,2020.0,4.0,2.0
6531,Cape Town,2021-09-26,Silver,Sms,2021.0,9.0,3.0
11866,Unknown,2022-12-08,Bronze,Call,2022.0,12.0,4.0
42812,Unknown,2025-06-14,Gold,Call,2025.0,6.0,2.0
10286,Unknown,2023-03-26,Silver,Call,2023.0,3.0,1.0
47354,Durban,2025-05-27,Silver,Call,2025.0,5.0,2.0
49811,Cape Town,2022-12-25,Bronze,Emal,2022.0,12.0,4.0
30880,Unknown,2024-01-09,Gold,Whatsapp,2024.0,1.0,1.0
9106,Unknown,2020-12-23,Silver,Call,2020.0,12.0,4.0
19122,Unknown,2022-09-19,Silver,Email,2022.0,9.0,3.0
37870,Pretoria,2025-08-04,Bronze,Whatsapp,2025.0,8.0,3.0
39709,Unknown,2022-06-13,Bronze,Whatsapp,2022.0,6.0,2.0
21743,Cape Town,2025-09-20,Gold,Call,2025.0,9.0,3.0
28159,Cape Town,2024-03-16,Bronze,Email,2024.0,3.0,1.0
14743,Cape Town,2021-11-29,Bronze,Email,2021.0,11.0,4.0
54871,Pretoria,2021-03-06,Silver,Call,2021.0,3.0,1.0
39213,Durban,2023-02-08,Silver,Call,2023.0,2.0,1.0
3249,Cape Town,2021-12-23,Bronze,Email,2021.0,12.0,4.0
7229,Cape Town,2022-04-18,Bronze,Whatsapp,2022.0,4.0,2.0
2092,Durban,2021-11-29,Bronze,Call,2021.0,11.0,4.0
4016,Cape Town,2025-04-05,Bronze,Call,2025.0,4.0,2.0
41222,Unknown,2024-10-23,Bronze,Email,2024.0,10.0,4.0
26554,Johannesburg,2024-08-01,Silver,Call,2024.0,8.0,3.0
16694,Durban,2024-07-18,Gold,Call,2024.0,7.0,3.0
43425,Johannesburg,2021-08-30,Gold,Email,2021.0,8.0,3.0
27512,Cape Town,2021-12-03,Silver,Email,2021.0,12.0,4.0
10259,Unknown,2023-04-28,Gold,Call,2023.0,4.0,2.0
25552,Cape Town,2022-05-13,Gold,Email,2022.0,5.0,2.0
255,Durban,2024-04-12,Bronze,Email,2024.0,4.0,2.0
50643,Unknown,2021-10-25,Silver,Email,2021.0,10.0,4.0
34814,Unknown,2022-12-11,Silver,Email,2022.0,12.0,4.0
42835,Pretoria,2025-04-29,Silver,Email,2025.0,4.0,2.0
19536,Durban,2022-01-24,Gold,Call,2022.0,1.0,1.0
16238,Unknown,2022-07-13,Bronze,Email,2022.0,7.0,3.0
46764,Cape Town,2024-08-30,Gold,Whatsapp,2024.0,8.0,3.0
22170,Unknown,2025-09-19,Silver,Whatsapp,2025.0,9.0,3.0
34470,Pretoria,2022-09-19,Gold,Email,2022.0,9.0,3.0
11682,Cape Town,2021-12-24,Bronze,Email,2021.0,12.0,4.0
46689,Johannesburg,2024-09-13,Bronze,Sms,2024.0,9.0,3.0
37000,Cape Town,2023-11-16,Bronze,Call,2023.0,11.0,4.0
12514,Cape Town,2021-11-10,Gold,Call,2021.0,11.0,4.0
10985,Unknown,2026-05-28,Bronze,Whatsapp,2026.0,5.0,2.0
46852,Durban,2025-02-24,Silver,Sms,2025.0,2.0,1.0
4791,Cape Town,2025-11-06,Bronze,Sms,2025.0,11.0,4.0
43432,Unknown,2023-04-13,Bronze,Email,2023.0,4.0,2.0
3103,Unknown,2021-05-11,Silver,Call,2021.0,5.0,2.0
48475,Johannesburg,2024-02-09,Bronze,Whatsapp,2024.0,2.0,1.0
23383,Johannesburg,2023-04-14,Bronze,Call,2023.0,4.0,2.0
29794,Durban,2024-04-13,Bronze,Email,2024.0,4.0,2.0
48745,Durban,2023-05-02,Bronze,Sms,2023.0,5.0,2.0
49831,Pretoria,2024-07-05,Bronze,Whatsapp,2024.0,7.0,3.0
30924,Unknown,2025-10-16,Silver,Call,2025.0,10.0,4.0
41396,Pretoria,2020-08-15,Bronze,Email,2020.0,8.0,3.0
3922,Pretoria,2021-08-18,Bronze,Sms,2021.0,8.0,3.0
53986,Unknown,2024-10-26,Bronze,Call,2024.0,10.0,4.0
29656,Pretoria,2023-05-05,Gold,Email,2023.0,5.0,2.0
12241,Pretoria,2023-09-27,Silver,Call,2023.0,9.0,3.0
2418,Johannesburg,2023-04-10,Bronze,Email,2023.0,4.0,2.0
51548,Johannesburg,2024-08-14,Silver,Email,2024.0,8.0,3.0
55309,Johannesburg,2024-11-21,Bronze,Sms,2024.0,11.0,4.0
48697,Cape Town,2025-01-23,Gold,Email,2025.0,1.0,1.0
20942,Cape Town,2021-06-08,Bronze,Whatsapp,2021.0,6.0,2.0
32973,Durban,2025-07-21,Bronze,Email,2025.0,7.0,3.0
18420,Cape Town,2023-12-13,Silver,Call,2023.0,12.0,4.0
44607,Cape Town,2026-04-05,Bronze,Email,2026.0,4.0,2.0
48084,Cape Town,2021-02-28,Gold,Call,2021.0,2.0,1.0
16730,Unknown,2025-01-18,Bronze,Email,2025.0,1.0,1.0
34001,Unknown,2026-08-02,Bronze,Call,2026.0,8.0,3.0
51228,Unknown,2023-07-16,Silver,Email,2023.0,7.0,3.0
28706,Cape Town,2021-02-12,Gold,Call,2021.0,2.0,1.0
24583,Johannesburg,2022-11-25,Bronze,Whatsapp,2022.0,11.0,4.0
5887,Cape Town,2026-01-31,Gold,Whatsapp,2026.0,1.0,1.0
46637,Pretoria,2025-09-12,Bronze,Call,2025.0,9.0,3.0
46629,Cape Town,2026-02-20,Bronze,Call,2026.0,2.0,1.0
3495,Cape Town,2026-06-28,Silver,Email,2026.0,6.0,2.0
