customer_id,city,signup_date,customer_tier,prefered_contact_method
5914, cape town ,11/21/2024,, EMAIL 
8621,,"Tuesday, April 21, 2020",Bronze,call
6531, cape town ,9/26/2021,Silver,SmS
11866, NULL ,12/8/2022,NULL,Call
42812, NULL ,6/14/2025,Gold,Call
10286, NULL ,26/03/2023,SILVER,Call
47354,Durban,5/27/2025,SILVER,call
49811, cape town ,25/12/2022,Bronze,Emal
30880, NULL ,1/9/2024,Gold,whatsapp
9106,,"Wednesday, December 23, 2020",Silver,Call
19122,,"Monday, September 19, 2022",SILVER,email
37870,Pretoria,8/4/2025,NULL,WHatsApp
39709, NULL ,13/06/2022,NULL,whatsapp
21743,Cape Town,9/20/2025,Gold,call
28159,Cape Town,3/16/2024,NULL, EMAIL 
14743, cape town ,11/29/2021,NULL, EMAIL 
54871,Pretoria,3/6/2021,SILVER,call
39213,Durban,2/8/2023,SILVER,call
3249, cape town ,12/23/2021,,NULL
7229, cape town ,4/18/2022,NULL,whatsapp
2092,Durban,29/11/2021,Bronze,call
4016,Cape Town,4/5/2025,NULL,Call
41222, NULL ,10/23/2024,NULL,
26554,Johannesburg,8/1/2024,Silver,Call
16694,Durban,7/18/2024,Gold,Call
43425,Johannesburg,8/30/2021,Gold,
27512, cape town ,12/3/2021,Silver, EMAIL 
10259,,"Friday, April 28, 2023",Gold,Call
25552,Cape Town,13/05/2022,Gold,
255,Durban,4/12/2024,NULL,Email
50643,,"Monday, October 25, 2021",Silver,Email
34814, NULL ,12/11/2022,Silver,email
42835,Pretoria,4/29/2025,SILVER, EMAIL 
19536,Durban,1/24/2022,Gold,Call
16238,,"Wednesday, July 13, 2022",NULL, EMAIL 
46764, cape town ,8/30/2024,Gold,whatsapp
22170, NULL ,9/19/2025,SILVER,whatsapp
34470,Pretoria,9/19/2022,Gold,email
11682, cape town ,12/24/2021,Bronze, EMAIL 
46689,Johannesburg,13/09/2024,Bronze,sms
37000,Cape Town,16/11/2023,,call
12514,Cape Town,11/10/2021,Gold,call
10985,,"Thursday, May 28, 2026",NULL,whatsapp
46852,Durban,2/24/2025,SILVER,sms
4791, cape town ,11/6/2025,NULL,sms
43432, NULL ,4/13/2023,NULL,Email
3103,,5/11/2021,SILVER,Call
48475,Johannesburg,2/9/2024,,whatsapp
23383,Johannesburg,4/14/2023,Bronze,call
29794,Durban,4/13/2024,NULL,email
48745,Durban,5/2/2023,Bronze,sms
49831,Pretoria,7/5/2024,Bronze,whatsapp
30924,,10/16/2025,SILVER,call
41396,Pretoria,8/15/2020,NULL,email
3922,Pretoria,18/08/2021,,sms
53986, NULL ,10/26/2024,,Call
29656,Pretoria,5/5/2023,Gold,Email
12241,Pretoria,9/27/2023,Silver,call
2418,Johannesburg,4/10/2023,NULL, EMAIL 
51548,Johannesburg,14/08/2024,SILVER,email
55309,Johannesburg,11/21/2024,Bronze,sms
48697,Cape Town,1/23/2025,Gold, EMAIL 
20942, cape town ,6/8/2021,,whatsapp
32973,Durban,7/21/2025,NULL,email
18420,Cape Town,13/12/2023,SILVER,call
44607,Cape Town,4/5/2026,,email
48084,Cape Town,2/28/2021,Gold,Call
16730,,18/01/2025,Bronze, EMAIL 
34001,,8/2/2026,NULL,call
51228,,7/16/2023,Silver, EMAIL 
28706,Cape Town,2/12/2021,Gold,Call
24583,Johannesburg,11/25/2022,Bronze,whatsapp
5887,Cape Town,31/01/2026,Gold,whatsapp
46637,Pretoria,9/12/2025,Bronze,call
46629, cape town ,2/20/2026,Bronze,Call
3495, cape town ,6/28/2026,Silver, EMAIL 
56275, NULL ,3/4/2026,Bronze, EMAIL 
16308,Pretoria,15/09/2022,SILVER,Email
5353,Pretoria,12/3/2023,SILVER,email
1414, NULL ,5/6/2025,SILVER,sms
38868,Johannesburg,27/09/2025,NULL,email
21432, NULL ,2/13/2024,SILVER,sms
35581,Johannesburg,7/28/2021,NULL,call
30653, NULL ,1/25/2020,Silver,Call
13655,Johannesburg,7/12/2025,SILVER,Email
38281, NULL ,24/09/2025,Silver,whatsapp
49519,Cape Town,5/13/2022,NULL,call
46651,Johannesburg,20/09/2022,Gold,sms
32857,Johannesburg,9/6/2024,Bronze,email
33768, cape town ,9/21/2023,SILVER, EMAIL 
11367,Cape Town,24/09/2021,NULL,Call
48195, cape town ,1/4/2023,NULL,call
2428,Durban,6/27/2022,Silver,Email
15232, cape town ,3/9/2024,Silver,whatsapp
7298, NULL ,12/6/2022,Bronze,Call
22936,Cape Town,7/12/2023,Bronze,Call
45618,,11/20/2022,Bronze,Email
29199,Pretoria,3/21/2022,Bronze,email
16342,,19/06/2023,NULL,Email
4135, cape town ,10/8/2024,Bronze,email
27290,Cape Town,22/03/2021,Bronze,email
13099,Durban,5/20/2025,SILVER,call
52570,Pretoria,2/17/2021,Bronze, EMAIL 
36349,Pretoria,1/28/2025,NULL, EMAIL 
1916, cape town ,12/19/2024,Bronze,whatsapp
36642,Johannesburg,2/10/2021,Bronze,sms
42079, cape town ,19/09/2023,SILVER,whatsapp
11027, NULL ,2/28/2024,Gold,call
7929,Durban,11/4/2025,SILVER,whatsapp
31693,,12/6/2025,Gold,email
30423,,10/12/2025,Bronze,email
35185, cape town ,12/11/2021,Gold,Email
40617, cape town ,26/10/2023,SILVER, EMAIL 
27619,Johannesburg,12/28/2024,Bronze,sms
52399,Pretoria,20/05/2023,Silver, EMAIL 
54326, NULL ,2/11/2021,NULL,Call
8481,Pretoria,11/6/2021,SILVER,email
36547,Pretoria,9/3/2024,Silver,sms
15081, cape town ,12/18/2024,NULL,email
53677, NULL ,7/4/2021,SILVER, EMAIL 
33330,Pretoria,2/18/2022,Gold,sms
15679,Cape Town,29/05/2025,Silver,Email
17583,Durban,10/11/2021,Silver,email
40325, cape town ,4/11/2023,NULL,Email
17052,Cape Town,4/29/2022,NULL,email
17791, NULL ,5/14/2026,Bronze,Email
55402,Cape Town,4/20/2024,Silver,sms
9809, NULL ,6/22/2023,SILVER,Email
7529,Pretoria,3/12/2025,Bronze,sms
19527,Pretoria,10/29/2024,Silver,whatsapp
57033,Johannesburg,12/7/2023,Silver,call
50859, NULL ,7/21/2021,Bronze,call
3859,Johannesburg,3/2/2022,NULL,call
13268, NULL ,9/20/2023,Bronze,sms
40403, NULL ,7/14/2020,SILVER,Email
9237,Pretoria,5/20/2023,Bronze,Email
1297,Pretoria,22/05/2025,Gold,Email
28813, cape town ,2/24/2026,Gold,sms
51803,Cape Town,10/9/2024,SILVER,Email
53771,Johannesburg,3/9/2026,SILVER,email
6430,Durban,12/23/2021,NULL,email
38493,Pretoria,3/21/2026,Bronze,Email
49370,Pretoria,6/18/2025,Silver,Email
45236,Durban,6/12/2025,SILVER,email
39113, NULL ,15/06/2026,SILVER,Email
546,Johannesburg,3/29/2023,Gold,email
6992,Durban,5/14/2026,Bronze,whatsapp
56958,Durban,19/03/2021,Bronze,whatsapp
52112,Cape Town,10/1/2021,NULL,Email
33025,Johannesburg,5/4/2024,Bronze,whatsapp
11381,Durban,7/23/2025,SILVER,sms
39798,Pretoria,1/15/2025,Gold,sms
52235, cape town ,8/20/2024,Bronze,Email
33195,Pretoria,5/7/2022,Silver, EMAIL 
52780,Johannesburg,20/06/2023,NULL, EMAIL 
7021,Cape Town,2/7/2025,SILVER,email
46876, NULL ,1/17/2022,Silver,call
1054, NULL ,1/4/2025,Bronze, EMAIL 
26676,Johannesburg,21/05/2023,Gold,whatsapp
30744,Pretoria,2/6/2026,Bronze, EMAIL 
41766, NULL ,5/6/2023,Bronze,Email
25970, cape town ,7/31/2023,Silver,email
47382,Cape Town,5/16/2021,Bronze,email
49344, cape town ,8/11/2025,SILVER,whatsapp
35019, cape town ,15/01/2026,SILVER,email
5100, cape town ,12/13/2025,Silver,Email
52946,Pretoria,"Saturday, August 17, 2024",Bronze, EMAIL 
53427, NULL ,2/18/2026,Silver,Email
18046, NULL ,21/07/2021,NULL,Email
58795,Pretoria,3/2/2022,NULL, EMAIL 
22764,Durban,4/11/2024,Bronze,sms
22169, NULL ,6/3/2022,SILVER,whatsapp
28021, NULL ,10/23/2023,SILVER,email
48552,Johannesburg,3/10/2026,Bronze,Email
9441,Johannesburg,"Tuesday, March 16, 2021",Bronze,whatsapp
57338,Pretoria,25/01/2026,NULL,sms
4610, cape town ,9/7/2025,NULL,Email
40004, NULL ,3/31/2023,Gold, EMAIL 
24423,Pretoria,3/19/2026,NULL,call
18705,Durban,8/13/2023,SILVER, EMAIL 
6953, NULL ,9/7/2021,Bronze,email
5548, cape town ,9/17/2023,Gold,Email
49693,Cape Town,4/25/2025,Bronze,Email
25592, NULL ,11/19/2025,NULL,Email
26307,Pretoria,11/12/2023,SILVER,call
33436,Pretoria,9/14/2023,Silver,Email
12174, NULL ,9/8/2022,Bronze, EMAIL 
30216, NULL ,16/01/2023,SILVER,email
52080,Durban,2/2/2021,NULL,whatsapp
32194,Pretoria,3/24/2023,Bronze,Email
36960,Durban,5/2/2022,Gold,email
18133,Pretoria,5/8/2022,Gold,Email
53729,Cape Town,14/05/2021,Silver,call
43038, NULL ,4/5/2021,Bronze,sms
37091,Durban,4/6/2022,SILVER,email
38900,Durban,5/4/2023,NULL,call
13606,Cape Town,5/17/2025,SILVER,email
57584, NULL ,6/19/2026,Bronze,whatsapp
16180,Durban,1/25/2021,SILVER, EMAIL 
8771,Cape Town,7/27/2025,NULL,call
20135,Pretoria,19/09/2021,Bronze,Email
8590,Pretoria,28/03/2022,Bronze,whatsapp
13804, cape town ,22/03/2021,Bronze,Email
37834,Durban,3/18/2021,NULL,Email
29119, NULL ,8/9/2022,Bronze,Email
4193,Pretoria,2/13/2026,Bronze, EMAIL 
39555,Pretoria,1/23/2023,Gold,email
19658,Durban,1/2/2021,SILVER, EMAIL 
34710, NULL ,19/05/2022,SILVER,Email
12710,Cape Town,5/28/2025,Bronze,whatsapp
23829,Pretoria,7/17/2022,Gold,email
41219,Pretoria,9/4/2025,Gold,Email
14865,Pretoria,4/26/2024,Gold,email
22768,Durban,"Thursday, August 1, 2024",Bronze, EMAIL 
49505,Durban,4/30/2025,Silver,sms
6272,Pretoria,10/31/2022,Bronze,call
29619,Pretoria,7/19/2025,Bronze,email
37715,Pretoria,12/10/2021,Silver,Email
38604,Cape Town,11/20/2022,Gold,call
8921,Cape Town,2/21/2025,Bronze, EMAIL 
4608, cape town ,2/8/2026,Gold,Email
22918,Durban,24/02/2025,Gold,call
43455,Cape Town,"Thursday, August 7, 2025",Bronze,email
32375,Cape Town,7/8/2022,NULL,email
35446,Durban,20/06/2021,Gold, EMAIL 
18635,Durban,2/19/2024,NULL,whatsapp
15662,Pretoria,13/09/2021,Bronze, EMAIL 
20006,Pretoria,9/3/2026,Silver,sms
1677,Cape Town,7/21/2023,SILVER,email
30851,Johannesburg,18/01/2022,Silver,whatsapp
38650,Cape Town,3/20/2024,Silver,email
38873,Pretoria,9/10/2022,Bronze,Email
11383, cape town ,9/19/2025,SILVER,sms
47824,Pretoria,10/28/2025,Silver,Email
47308, cape town ,4/18/2026,Silver,Email
32805,Pretoria,8/19/2025,Silver, EMAIL 
6309, cape town ,9/4/2022,NULL,email
37186,Durban,13/02/2024,Silver,whatsapp
55927,Pretoria,2/28/2021,Bronze,whatsapp
37718,Pretoria,7/25/2021,NULL,Email
4447,Pretoria,16/02/2026,Gold,email
31560,Johannesburg,5/1/2024,Bronze,Email
39381,Durban,12/2/2022,NULL,sms
25864, NULL ,9/9/2021,Bronze,sms
27430,Johannesburg,8/7/2021,NULL,Email
20477,Pretoria,6/17/2024,Bronze,sms
38074,Pretoria,2/29/2024,Silver, EMAIL 
9136, NULL ,9/23/2021,Gold, EMAIL 
