order_id,customer_id,product_id,order_date,quantity,order_rating,customers_id
1,5914,P0001,4/29/2024,5,3,
2,8621,P0002,7/5/2024,6,2,
3,6531,P0003,1/10/2025,10,2,
4,11866,P0004,1/28/2026,9,3,
5,42812,P0005,"Thursday, August 25, 2022",2,3,
6,10286,P0006,"Tuesday, January 7, 2025",9,3,
7,47354,P0007,5/10/2024,3,5,
8,49811,P0008,8/5/2021,3,3,
9,30880,P0009,"Wednesday, November 17, 2021",4,5,
10,9106,P0010,8/28/2024,4,2,
11,19122,P0011,5/26/2021,8,3,
12,37870,P0012,6/5/2021,5,5,
13,39709,P0013,11/1/2021,5,4,
14,21743,P0014,17/08/2022,9,4,
15,28159,P0015,4/29/2023,8,2,
16,14743,P0016,4/27/2023,2,4,
17,54871,P0017,"Monday, September 15, 2025",10,,
18,39213,P0018,8/18/2023,5,2,
19,3249,P0019,1/27/2021,1,1,
20,7229,P0020,3/15/2023,6,2,
21,2092,P0021,2/13/2023,7,5,
22,4016,P0022,4/13/2024,9,3,
23,41222,P0023,"Wednesday, September 27, 2023",8,1,
24,26554,P0024,4/19/2021,7,3,
25,16694,P0025,11/22/2023,7,1,
26,43425,P0026,11/25/2022,10,4,
27,27512,P0027,2/9/2023,7,5,
28,10259,P0028,17/07/2025,2,3,
29,25552,P0029,"Saturday, June 11, 2022",9,2,
30,255,P0030,20/08/2025,2,2,
31,50643,P0031,1/18/2025,3,5,
32,34814,P0032,11/28/2021,10,4,
33,42835,P0033,25/01/2025,2,3,
34,19536,P0034,10/2/2026,4,3,
35,16238,P0035,12/11/2023,10,2,
36,46764,P0036,2/27/2022,10,3,
37,22170,P0037,7/21/2023,1,4,
38,34470,P0038,5/27/2025,2,3,
39,11682,P0039,1/14/2025,4,2,
40,46689,P0040,"Friday, January 20, 2023",7,5,
41,37000,P0041,7/7/2025,6,4,
42,12514,P0042,8/23/2021,1,3,
43,10985,P0043,22/01/2025,8,,
44,46852,P0044,1/2/2025,7,4,
45,4791,P0045,5/19/2026,5,4,
46,43432,P0046,19/03/2024,3,1,
47,3103,P0047,7/5/2021,3,1,
48,48475,P0048,"Monday, February 22, 2021",8,3,
49,23383,P0049,10/22/2024,8,2,
50,29794,P0050,7/12/2021,10,5,
51,48745,P0051,8/24/2025,9,1,
52,49831,P0052,8/26/2024,7,1,
53,30924,P0053,6/8/2023,7,2,
54,41396,P0054,4/5/2021,5,3,
55,3922,P0055,1/14/2021,3,2,
56,53986,P0056,10/17/2025,5,3,
57,29656,P0057,8/16/2025,3,4,
58,12241,P0058,"Friday, May 29, 2026",10,1,
59,2418,P0059,9/22/2022,6,1,
60,51548,P0060,6/22/2022,5,2,
61,55309,P0061,1/23/2025,10,,
62,48697,P0062,6/29/2026,4,,
63,20942,P0063,11/28/2021,10,4,
64,32973,P0064,10/29/2025,3,4,
65,18420,P0065,19/01/2022,2,3,
66,44607,P0066,8/22/2022,6,1,
67,48084,P0067,5/26/2024,4,3,
68,16730,P0068,10/12/2025,7,NA,
69,34001,P0069,6/16/2024,2,3,
70,51228,P0070,23/03/2022,8,4,
71,28706,P0071,4/20/2022,6,4,
72,24583,P0072,28/09/2022,8,2,
73,5887,P0073,1/7/2024,10,2,
74,46637,P0074,"Wednesday, November 2, 2022",1,1,
75,46629,P0075,"Friday, January 17, 2025",3,2,
76,3495,P0076,8/13/2021,9,1,
77,56275,P0077,7/10/2022,2,2,
78,16308,P0078,4/8/2023,10,5,
79,5353,P0079,1/3/2024,9,1,
80,1414,P0080,11/23/2021,1,3,
81,38868,P0081,4/25/2021,2,3,
82,21432,P0082,12/11/2023,3,3,
83,35581,P0083,9/18/2024,2,3,
84,30653,P0084,12/14/2022,9,2,
85,13655,P0085,10/10/2021,2,4,
86,38281,P0086,"Monday, November 10, 2025",3,1,
87,49519,P0087,6/21/2026,2,3,
88,46651,P0088,8/10/2025,9,4,
89,32857,P0089,5/17/2022,9,3,
90,33768,P0090,3/11/2024,1,5,
91,11367,P0091,4/25/2026,2,3,
92,48195,P0092,9/11/2022,10,4,
93,2428,P0093,5/20/2021,2,5,
94,15232,P0094,4/4/2024,8,2,
95,7298,P0095,"Sunday, October 5, 2025",8,5,
96,22936,P0096,4/11/2024,2,5,
97,45618,P0097,3/27/2022,9,2,
98,29199,P0098,7/9/2023,3,5,
99,16342,P0099,12/12/2023,1,5,
100,4135,P0100,4/15/2025,7,1,
101,27290,P0101,7/6/2024,1,3,
102,13099,P0102,2/9/2022,1,1,
103,52570,P0103,4/16/2026,4,1,
104,36349,P0104,10/7/2023,10,4,
105,1916,P0105,6/7/2024,4,5,
106,36642,P0106,11/2/2025,6,2,
107,42079,P0107,12/3/2024,10,1,
108,11027,P0108,10/20/2022,3,4,
109,7929,P0109,11/8/2025,1,2,
110,31693,P0110,2/7/2023,8,3,
111,30423,P0111,1/26/2023,7,4,
112,35185,P0112,2/1/2023,6,1,
113,40617,P0113,1/20/2025,7,2,
114,27619,P0114,10/21/2021,1,4,
115,52399,P0115,2/2/2021,4,4,
116,54326,P0116,"Saturday, July 5, 2025",9,3,
117,8481,P0117,3/4/2022,4,3,
118,36547,P0118,9/16/2025,3,5,
119,15081,P0119,12/1/2023,10,2,
120,53677,P0120,3/6/2023,1,4,
121,33330,P0121,5/6/2021,2,3,
122,15679,P0122,4/20/2026,3,5,
123,17583,P0123,9/6/2022,10,2,
124,40325,P0124,9/21/2022,2,1,
125,17052,P0125,1/10/2021,1,1,
126,17791,P0126,,8,3,
127,55402,P0127,11/30/2025,6,2,
128,9809,P0128,3/2/2024,5,3,
129,7529,P0129,1/8/2024,3,4,
130,19527,P0130,,9,1,
131,57033,P0131,10/15/2024,10,4,
132,50859,P0132,2/20/2021,4,2,
133,3859,P0133,5/28/2023,3,2,
134,13268,P0134,2/4/2021,8,3,
135,40403,P0135,,6,5,
136,9237,P0136,10/16/2024,8,2,
137,1297,P0137,9/1/2022,1,3,
138,28813,P0138,8/6/2026,7,3,
139,51803,P0139,12/11/2023,1,4,
140,53771,P0140,,5,5,
141,6430,P0141,,9,4,
142,38493,P0142,4/1/2023,8,4,
143,49370,P0143,,8,5,
144,45236,P0144,,6,3,
145,39113,P0145,11/2/2025,1,1,
146,546,P0146,5/24/2023,5,5,
147,6992,P0147,6/17/2023,1,2,
148,56958,P0148,1/5/2025,3,4,
149,52112,P0149,10/14/2025,6,2,
150,33025,P0150,2/8/2026,3,4,
151,11381,P0151,6/26/2026,8,1,
152,39798,P0152,12/23/2025,8,2,
153,52235,P0153,8/1/2024,4,1,
154,33195,P0154,3/28/2022,2,5,
155,52780,P0155,12/30/2021,9,4,
156,7021,P0156,8/17/2023,5,4,
157,46876,P0157,8/17/2021,6,5,
158,1054,P0158,22/06/2022,9,4,
159,26676,P0159,1/12/2025,1,4,
160,30744,P0160,6/15/2024,7,3,
161,41766,P0161,16/04/2024,4,4,
162,25970,P0162,5/7/2023,3,5,
163,47382,P0163,16/04/2024,8,2,
164,49344,P0164,2/20/2023,7,3,
165,35019,P0165,8/11/2025,1,3,
166,5100,P0166,5/24/2025,5,2,
167,52946,P0167,12/24/2021,3,3,
